Project: lab6
Revision: lab6
Flow Start Date: Sun Dec 07 09:47:37 +0700 2025
Flow End Date: Sun Dec 07 10:25:44 +0700 2025

Detailed Results
Point,base-slow,base-fast,1-slow,1-fast (Best),2-slow,2-fast,3-slow,3-fast,4-slow,4-fast,5-slow,5-fast,6-slow,6-fast,7-slow,7-fast,8-slow,8-fast,9-slow,9-fast,10-slow,10-fast,11-slow,11-fast,12-slow,12-fast,13-slow,13-fast,14-slow,14-fast,15-slow,15-fast,16-slow,16-fast,17-slow,17-fast,18-slow,18-fast,19-slow,19-fast,20-slow,20-fast,21-slow,21-fast,22-slow,22-fast,23-slow,23-fast,24-slow,24-fast,25-slow,25-fast,26-slow,26-fast,27-slow,27-fast
Clock Setup: 'clk_sys': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,-0.030 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'clk_sys': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,-0.002 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'clk_sys': Restricted Fmax,100.36 MHz,222.82 MHz,106.38 MHz,236.8 MHz,99.96 MHz,223.91 MHz,117.62 MHz,252.59 MHz,103.4 MHz,228.41 MHz,100.14 MHz,224.27 MHz,unknown,unknown,104.73 MHz,232.29 MHz,105.71 MHz,231.43 MHz,106.38 MHz,236.8 MHz,112.71 MHz,248.88 MHz,101.96 MHz,228.31 MHz,106.38 MHz,236.8 MHz,104.73 MHz,232.29 MHz,105.71 MHz,231.43 MHz,106.38 MHz,236.8 MHz,109.05 MHz,242.66 MHz,101.96 MHz,228.31 MHz,114.97 MHz,257.6 MHz,unknown,unknown,112.94 MHz,245.34 MHz,113.49 MHz,254.13 MHz,110.79 MHz,245.46 MHz,115.97 MHz,255.3 MHz,111.22 MHz,248.94 MHz,106.77 MHz,238.72 MHz,114.13 MHz,251.89 MHz,112.51 MHz,248.76 MHz
Clock Setup: 'clk_sys': Worst-case Slack,0.036 ns,2.780 ns,0.600 ns,3.047 ns,-0.002 ns,2.767 ns,1.153 ns,3.260 ns,0.329 ns,2.906 ns,0.014 ns,2.890 ns,unknown,unknown,0.452 ns,3.143 ns,0.540 ns,3.104 ns,0.600 ns,3.047 ns,0.833 ns,3.026 ns,0.192 ns,2.941 ns,0.600 ns,3.047 ns,0.452 ns,3.143 ns,0.540 ns,3.104 ns,0.600 ns,3.047 ns,0.415 ns,2.951 ns,0.192 ns,2.941 ns,0.906 ns,3.156 ns,unknown,unknown,0.938 ns,3.198 ns,0.969 ns,3.102 ns,0.974 ns,3.164 ns,0.846 ns,3.132 ns,0.841 ns,3.098 ns,0.634 ns,2.968 ns,0.989 ns,3.198 ns,0.933 ns,3.170 ns
Clock Setup: Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,-0.002 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,unknown,unknown,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,unknown,unknown,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Elapsed Time: Analysis & Synthesis,00:00:21,00:00:21,00:00:21,00:00:21,00:00:21,00:00:21,00:00:24,00:00:24,00:00:20,00:00:20,00:00:20,00:00:20,unknown,unknown,00:00:20,00:00:20,00:00:22,00:00:22,00:00:22,00:00:22,00:00:21,00:00:21,00:00:18,00:00:18,00:00:22,00:00:22,00:00:22,00:00:22,00:00:21,00:00:21,00:00:24,00:00:24,00:00:22,00:00:22,00:00:19,00:00:19,00:00:21,00:00:21,unknown,unknown,00:00:20,00:00:20,00:00:20,00:00:20,00:00:23,00:00:23,00:00:23,00:00:23,00:00:23,00:00:23,00:00:22,00:00:22,00:00:23,00:00:23,00:00:21,00:00:21
Elapsed Time: Assembler,00:00:02,00:00:02,00:00:03,00:00:03,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,unknown,unknown,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:02,00:00:02,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:03,00:00:03,00:00:02,00:00:02,unknown,unknown,00:00:02,00:00:02,00:00:05,00:00:05,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02
Elapsed Time: Design Assistant,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,unknown,unknown,00:00:01,00:00:01,00:00:01,00:00:01,00:00:02,00:00:02,00:00:01,00:00:01,00:00:01,00:00:01,00:00:02,00:00:02,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:02,00:00:02,00:00:01,00:00:01,unknown,unknown,00:00:01,00:00:01,00:00:01,00:00:01,00:00:03,00:00:03,00:00:01,00:00:01,00:00:01,00:00:01,00:00:03,00:00:03,00:00:01,00:00:01,00:00:01,00:00:01
Elapsed Time: EDA Netlist Writer,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,unknown,unknown,00:00:02,00:00:02,00:00:01,00:00:01,00:00:02,00:00:02,00:00:01,00:00:01,00:00:01,00:00:01,00:00:02,00:00:02,00:00:01,00:00:01,00:00:01,00:00:01,00:00:02,00:00:02,00:00:01,00:00:01,00:00:02,00:00:02,00:00:01,00:00:01,unknown,unknown,00:00:01,00:00:01,00:00:02,00:00:02,00:00:02,00:00:02,00:00:01,00:00:01,00:00:01,00:00:01,00:00:02,00:00:02,00:00:01,00:00:01,00:00:01,00:00:01
Elapsed Time: Fitter,00:00:56,00:00:56,00:00:30,00:00:30,00:01:00,00:01:00,00:00:44,00:00:44,00:00:32,00:00:32,00:00:24,00:00:24,unknown,unknown,00:00:41,00:00:41,00:00:47,00:00:47,00:00:32,00:00:32,00:00:44,00:00:44,00:00:56,00:00:56,00:00:30,00:00:30,00:00:41,00:00:41,00:00:42,00:00:42,00:00:31,00:00:31,00:00:39,00:00:39,00:00:56,00:00:56,00:00:35,00:00:35,unknown,unknown,00:00:35,00:00:35,00:00:39,00:00:39,00:00:40,00:00:40,00:00:37,00:00:37,00:00:31,00:00:31,00:00:39,00:00:39,00:00:39,00:00:39,00:00:40,00:00:40
Elapsed Time: TimeQuest Timing Analyzer,00:00:02,00:00:02,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,unknown,unknown,00:00:03,00:00:03,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:01,00:00:01,00:00:02,00:00:02,unknown,unknown,00:00:02,00:00:02,00:00:04,00:00:04,00:00:04,00:00:04,00:00:02,00:00:02,00:00:02,00:00:02,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:02
Elapsed Time: Total,00:01:23,00:01:23,00:00:59,00:00:59,00:01:28,00:01:28,00:01:14,00:01:14,00:00:58,00:00:58,00:00:50,00:00:50,unknown,unknown,00:01:10,00:01:10,00:01:17,00:01:17,00:01:03,00:01:03,00:01:12,00:01:12,00:01:20,00:01:20,00:01:01,00:01:01,00:01:09,00:01:09,00:01:09,00:01:09,00:01:02,00:01:02,00:01:07,00:01:07,00:01:23,00:01:23,00:01:02,00:01:02,unknown,unknown,00:01:01,00:01:01,00:01:11,00:01:11,00:01:15,00:01:15,00:01:06,00:01:06,00:01:00,00:01:00,00:01:11,00:01:11,00:01:08,00:01:08,00:01:07,00:01:07
Timing Model,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,unknown,unknown,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,unknown,unknown,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast,Slow,Fast
Total block memory bits,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,-0.002 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,unknown,unknown,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,unknown,unknown,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Total logic elements,2755,2755,2804,2804,2793,2793,2631,2631,2535,2535,2552,2552,unknown,unknown,2554,2554,2610,2610,2804,2804,2726,2726,2651,2651,2804,2804,2554,2554,2610,2610,2804,2804,2592,2592,2651,2651,2618,2618,unknown,unknown,2612,2612,2653,2653,2607,2607,2623,2623,2633,2633,2625,2625,2628,2628,2609,2609
Total Thermal Power Dissipation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Worst-case Slack,0.036 ns (Clock Setup: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),-0.002 ns (Clock Setup: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.329 ns (Clock Setup: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.014 ns (Clock Setup: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),unknown,unknown,0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.192 ns (Clock Setup: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.192 ns (Clock Setup: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),unknown,unknown,0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys'),0.391 ns (Clock Hold: 'clk_sys'),0.215 ns (Clock Hold: 'clk_sys')
